time(microsec),distance(cm),time(sec),distance(m),velocity(m/s)
70082,1191,0.070082,11.91,169.9437801
70075,1191,0.070075,11.91,169.9607563
70073,1191,0.070073,11.91,169.9656073
70072,1191,0.070072,11.91,169.9680329
70077,1191,0.070077,11.91,169.9559056
70071,1191,0.070071,11.91,169.9704585
70068,1191,0.070068,11.91,169.9777359
70075,1191,0.070075,11.91,169.9607563
70079,1191,0.070079,11.91,169.9510552
70069,1191,0.070069,11.91,169.9753101
70073,1191,0.070073,11.91,169.9656073
70069,1191,0.070069,11.91,169.9753101
70078,1191,0.070078,11.91,169.9534804
70071,1191,0.070071,11.91,169.9704585
70077,1191,0.070077,11.91,169.9559056
70073,1191,0.070073,11.91,169.9656073
70071,1191,0.070071,11.91,169.9704585
70069,1191,0.070069,11.91,169.9753101
70064,1191,0.070064,11.91,169.9874401
70061,1191,0.070061,11.91,169.9947189
70071,1191,0.070071,11.91,169.9704585
70080,1191,0.07008,11.91,169.9486301
70076,1191,0.070076,11.91,169.958331
70070,1191,0.07007,11.91,169.9728843
70075,1191,0.070075,11.91,169.9607563
70074,1191,0.070074,11.91,169.9631818
70071,1191,0.070071,11.91,169.9704585
70077,1191,0.070077,11.91,169.9559056
70071,1191,0.070071,11.91,169.9704585
70071,1191,0.070071,11.91,169.9704585
70076,1191,0.070076,11.91,169.958331
70071,1191,0.070071,11.91,169.9704585
70063,1191,0.070063,11.91,169.9898663
70073,1191,0.070073,11.91,169.9656073
70071,1191,0.070071,11.91,169.9704585
70070,1191,0.07007,11.91,169.9728843
70073,1191,0.070073,11.91,169.9656073
70068,1191,0.070068,11.91,169.9777359
70069,1191,0.070069,11.91,169.9753101
70076,1191,0.070076,11.91,169.958331
70070,1191,0.07007,11.91,169.9728843
70070,1191,0.07007,11.91,169.9728843
70072,1191,0.070072,11.91,169.9680329
70081,1191,0.070081,11.91,169.9462051
70072,1191,0.070072,11.91,169.9680329
70070,1191,0.07007,11.91,169.9728843
70078,1191,0.070078,11.91,169.9534804
70074,1191,0.070074,11.91,169.9631818
70079,1191,0.070079,11.91,169.9510552
70080,1191,0.07008,11.91,169.9486301
70079,1191,0.070079,11.91,169.9510552
70077,1191,0.070077,11.91,169.9559056
70077,1191,0.070077,11.91,169.9559056
70075,1191,0.070075,11.91,169.9607563
70074,1191,0.070074,11.91,169.9631818
70080,1191,0.07008,11.91,169.9486301
70079,1191,0.070079,11.91,169.9510552
70089,1191,0.070089,11.91,169.9268073
70068,1191,0.070068,11.91,169.9777359
70070,1191,0.07007,11.91,169.9728843
70069,1191,0.070069,11.91,169.9753101
70069,1191,0.070069,11.91,169.9753101
70067,1191,0.070067,11.91,169.9801618
70073,1191,0.070073,11.91,169.9656073
70063,1191,0.070063,11.91,169.9898663
70070,1191,0.07007,11.91,169.9728843
70079,1191,0.070079,11.91,169.9510552
70073,1191,0.070073,11.91,169.9656073
70064,1191,0.070064,11.91,169.9874401
70063,1191,0.070063,11.91,169.9898663
70065,1191,0.070065,11.91,169.9850139
70060,1191,0.07006,11.91,169.9971453
70071,1191,0.070071,11.91,169.9704585
70067,1191,0.070067,11.91,169.9801618
70072,1191,0.070072,11.91,169.9680329
70071,1191,0.070071,11.91,169.9704585
70071,1191,0.070071,11.91,169.9704585
70073,1191,0.070073,11.91,169.9656073
70066,1191,0.070066,11.91,169.9825878
70087,1191,0.070087,11.91,169.9316564
70066,1191,0.070066,11.91,169.9825878
70067,1191,0.070067,11.91,169.9801618
70071,1191,0.070071,11.91,169.9704585
70073,1191,0.070073,11.91,169.9656073
70071,1191,0.070071,11.91,169.9704585
70070,1191,0.07007,11.91,169.9728843
70069,1191,0.070069,11.91,169.9753101
70066,1191,0.070066,11.91,169.9825878
70077,1191,0.070077,11.91,169.9559056
70070,1191,0.07007,11.91,169.9728843
70072,1191,0.070072,11.91,169.9680329
70073,1191,0.070073,11.91,169.9656073
70073,1191,0.070073,11.91,169.9656073
70069,1191,0.070069,11.91,169.9753101
70072,1191,0.070072,11.91,169.9680329
70077,1191,0.070077,11.91,169.9559056
70069,1191,0.070069,11.91,169.9753101
70079,1191,0.070079,11.91,169.9510552
70072,1191,0.070072,11.91,169.9680329
70070,1191,0.07007,11.91,169.9728843
70075,1191,0.070075,11.91,169.9607563
70086,1191,0.070086,11.91,169.934081
70094,1191,0.070094,11.91,169.914686
70082,1191,0.070082,11.91,169.9437801
70091,1191,0.070091,11.91,169.9219586
70092,1191,0.070092,11.91,169.9195343
70087,1191,0.070087,11.91,169.9316564
70088,1191,0.070088,11.91,169.9292318
70078,1191,0.070078,11.91,169.9534804
70065,1191,0.070065,11.91,169.9850139
70066,1191,0.070066,11.91,169.9825878
70073,1191,0.070073,11.91,169.9656073
70070,1191,0.07007,11.91,169.9728843
70076,1191,0.070076,11.91,169.958331
70076,1191,0.070076,11.91,169.958331
70069,1191,0.070069,11.91,169.9753101
70072,1191,0.070072,11.91,169.9680329
70081,1191,0.070081,11.91,169.9462051
70078,1191,0.070078,11.91,169.9534804
70086,1191,0.070086,11.91,169.934081
70079,1191,0.070079,11.91,169.9510552
70076,1191,0.070076,11.91,169.958331
70078,1191,0.070078,11.91,169.9534804
70070,1191,0.07007,11.91,169.9728843
70077,1191,0.070077,11.91,169.9559056
70080,1191,0.07008,11.91,169.9486301
70070,1191,0.07007,11.91,169.9728843
70068,1191,0.070068,11.91,169.9777359
70071,1191,0.070071,11.91,169.9704585
70071,1191,0.070071,11.91,169.9704585
70082,1191,0.070082,11.91,169.9437801
70073,1191,0.070073,11.91,169.9656073
70077,1191,0.070077,11.91,169.9559056
70077,1191,0.070077,11.91,169.9559056
70075,1191,0.070075,11.91,169.9607563
70064,1191,0.070064,11.91,169.9874401
70077,1191,0.070077,11.91,169.9559056
70078,1191,0.070078,11.91,169.9534804
70077,1191,0.070077,11.91,169.9559056
70076,1191,0.070076,11.91,169.958331
70067,1191,0.070067,11.91,169.9801618
70076,1191,0.070076,11.91,169.958331
70074,1191,0.070074,11.91,169.9631818
70074,1191,0.070074,11.91,169.9631818
70067,1191,0.070067,11.91,169.9801618
70070,1191,0.07007,11.91,169.9728843
70068,1191,0.070068,11.91,169.9777359
70078,1191,0.070078,11.91,169.9534804
70068,1191,0.070068,11.91,169.9777359
70068,1191,0.070068,11.91,169.9777359
70071,1191,0.070071,11.91,169.9704585
70071,1191,0.070071,11.91,169.9704585
70072,1191,0.070072,11.91,169.9680329
70072,1191,0.070072,11.91,169.9680329
70063,1191,0.070063,11.91,169.9898663
70067,1191,0.070067,11.91,169.9801618
70072,1191,0.070072,11.91,169.9680329
70066,1191,0.070066,11.91,169.9825878
70071,1191,0.070071,11.91,169.9704585
70063,1191,0.070063,11.91,169.9898663
70069,1191,0.070069,11.91,169.9753101
70065,1191,0.070065,11.91,169.9850139
70071,1191,0.070071,11.91,169.9704585
70073,1191,0.070073,11.91,169.9656073
70071,1191,0.070071,11.91,169.9704585
70060,1191,0.07006,11.91,169.9971453
70072,1191,0.070072,11.91,169.9680329
70070,1191,0.07007,11.91,169.9728843
70069,1191,0.070069,11.91,169.9753101
70067,1191,0.070067,11.91,169.9801618
70073,1191,0.070073,11.91,169.9656073
70059,1191,0.070059,11.91,169.9995718
70069,1191,0.070069,11.91,169.9753101
70069,1191,0.070069,11.91,169.9753101
70081,1191,0.070081,11.91,169.9462051
70065,1191,0.070065,11.91,169.9850139
70069,1191,0.070069,11.91,169.9753101
70066,1191,0.070066,11.91,169.9825878
70070,1191,0.07007,11.91,169.9728843
70072,1191,0.070072,11.91,169.9680329
70076,1191,0.070076,11.91,169.958331
70069,1191,0.070069,11.91,169.9753101
70068,1191,0.070068,11.91,169.9777359
70063,1191,0.070063,11.91,169.9898663
70067,1191,0.070067,11.91,169.9801618
70072,1191,0.070072,11.91,169.9680329
70066,1191,0.070066,11.91,169.9825878
70075,1191,0.070075,11.91,169.9607563
70070,1191,0.07007,11.91,169.9728843
70071,1191,0.070071,11.91,169.9704585
70072,1191,0.070072,11.91,169.9680329
70081,1191,0.070081,11.91,169.9462051
70071,1191,0.070071,11.91,169.9704585
70073,1191,0.070073,11.91,169.9656073
70073,1191,0.070073,11.91,169.9656073
70076,1191,0.070076,11.91,169.958331
70079,1191,0.070079,11.91,169.9510552
70074,1191,0.070074,11.91,169.9631818
70062,1191,0.070062,11.91,169.9922925
70075,1191,0.070075,11.91,169.9607563
436,7,0.000436,0.07,160.5504587
464,7,0.000464,0.07,150.862069
517,8,0.000517,0.08,154.7388781
587,9,0.000587,0.09,153.3219761
875,14,0.000875,0.14,160
1242,21,0.001242,0.21,169.0821256
584,9,0.000584,0.09,154.109589
625,10,0.000625,0.1,160
1414,24,0.001414,0.24,169.7312588
1518,25,0.001518,0.25,164.6903821
801,13,0.000801,0.13,162.2971286
567,9,0.000567,0.09,158.7301587
929,15,0.000929,0.15,161.4639397
1102,18,0.001102,0.18,163.3393829
506,8,0.000506,0.08,158.1027668
516,8,0.000516,0.08,155.0387597
752,12,0.000752,0.12,159.5744681
5513,93,0.005513,0.93,168.6921821
997,16,0.000997,0.16,160.4814443
658,11,0.000658,0.11,167.1732523
458,7,0.000458,0.07,152.8384279
580,9,0.00058,0.09,155.1724138
825,14,0.000825,0.14,169.6969697
1193,20,0.001193,0.2,167.6445935
1053,17,0.001053,0.17,161.4434948
930,15,0.00093,0.15,161.2903226
759,12,0.000759,0.12,158.1027668
1116,18,0.001116,0.18,161.2903226
1095,18,0.001095,0.18,164.3835616
521,8,0.000521,0.08,153.5508637
710,12,0.00071,0.12,169.0140845
426,7,0.000426,0.07,164.3192488
401,6,0.000401,0.06,149.6259352
969,16,0.000969,0.16,165.1186791
1120,19,0.00112,0.19,169.6428571
861,14,0.000861,0.14,162.601626
531,9,0.000531,0.09,169.4915254
1091,18,0.001091,0.18,164.9862511
1319,22,0.001319,0.22,166.793025
1277,21,0.001277,0.21,164.4479248
1050,17,0.00105,0.17,161.9047619
553,9,0.000553,0.09,162.7486438
381,6,0.000381,0.06,157.480315
392,6,0.000392,0.06,153.0612245
378,6,0.000378,0.06,158.7301587
385,6,0.000385,0.06,155.8441558
357,6,0.000357,0.06,168.0672269
388,6,0.000388,0.06,154.6391753
427,7,0.000427,0.07,163.9344262
